DF,0.05,0.01
?,1.96,2.576
1,12.706,63.656
2,4.303,9.925
3,3.182,5.841
4,2.776,4.604
5,2.571,4.032
6,2.447,3.707
7,2.365,3.499
8,2.306,3.355
9,2.262,3.25
10,2.228,3.169
11,2.201,3.106
12,2.179,3.055
13,2.16,3.012
14,2.145,2.977
15,2.131,2.947
16,2.12,2.921
17,2.11,2.898
18,2.101,2.878
19,2.093,2.861
20,2.086,2.845
21,2.08,2.831
22,2.074,2.819
23,2.069,2.807
24,2.064,2.797
25,2.06,2.787
26,2.056,2.779
27,2.052,2.771
28,2.048,2.763
29,2.045,2.756
30,2.042,2.75
60,2,2.66
120,1.98,2.617
8,1.96,2.576
